category,title,credits,prerequisites,description
PHILOSOPHY,PHIL 350 Contemporary Moral Issues ,3 cr,Prerequisite: A 100-level and a 200-level philosophy course or department approval,"Views such issues as war and peace, world poverty, sexual morality and spirituality from the perspectives of traditional and contemporary ethical theories. Course attributes: SOCJ."
PHILOSOPHY,PHIL 360 Social and Political Philosophy ,3 cr,Prerequisite: A 100-level and a 200-level philosophy course or department approval,"Investigates conceptual and moral questions posed by life in community with others. These include justificaions of democracy, political freedom, natural rights, political obligation, social justice and the challenge of anarchism. Course attributes: SOCJ."
PHILOSOPHY,PHIL 375 Ethics and Animals ,3 cr,Prerequisite: Junior/senior status,"Explores the potentially morally significant relationships between humans and various kinds of non-human animals, applying moral propositions that we, as a society, subscribe to, to see whether they have unacknowledged implications for non-humans."
PHILOSOPHY,PHIL 375H Honors: Ethics and Animals ,3 cr,Prerequisite: Junior/senior status,"Explores the potentially morally significant relationships between humans and various kinds of non-human animals. Explores moral propositions that we, as a society, subscribe to, to see whether they have unacknowledged implications for non-humans. Course attributes: HONR."
PHILOSOPHY,PHIL 385 Special Topics in Philosophy ,3 cr,"Prerequisite: A 100-level or 200-level philosophy course, junior status, or department approval","Challenges students at the junior level, to understand, construct, and criticize both informal (natural language) and formal (categorical and propositional) arguments. The course considers in detail the very notion of argument, argument structure, and the criteria for constructing cogent arguments, and distinguishes arguments supported by evidence and reason from mere opinion and belief. Students will learn to apply these logical concepts in their writing, conversing, and reading."
PHILOSOPHY,PHIL 400 Contemporary Legal Philosophy ,3 cr,"Prerequisite: A 100-level and a 200-level philosophy course, or department approval","Examines the nature of law, the logic and sociology of judicial processes and the relationship of law to morality, including a comparison of major legal theories: natural law, legal positivism, legal realism and Marxist legal analysis."
PHILOSOPHY,PHIL 410 Constructing Reality ,3 cr,Prerequisite: A 100 or 200 level philosophy course or department approval,"Focusing on the increasingly popular notion that human beings, individually or corporately, actively construct, in part or in whole, the world. This notion transcends disciplinary boundaries, finding expression in such diverse fields as biology, philosophy, psychology, physics, anthropology, sociology, mathematics, theology, literary theory, cybernetics and linguistics."
PHILOSOPHY,PHIL 410H Honors: Constructing Reality ,3 cr,Prerequisite: A 100 or 200 level philosophy course or department approval,"Focusing on the increasingly popular notion that human beings, individually or corporately, actively construct, in part or in whole, the world. This notion transcends disciplinary boundaries, finding expression in such diverse fields as biology, philosophy, psychology, physics, anthropology, sociology, mathematics, theology, literary theory, cybernetics and linguistics. Course attributes: HONR."
PHILOSOPHY,PHIL 485 Special Topics in Philosophy ,3 cr,Prerequisite: A 100 level and 200 level philosophy course or department approval,"A philosophical topics course tailored to changing student needs and interests, each offering focuses on a period in the history of philosophy (e.g. Greek philosophy, medieval philosophy, 20th century American philosophy, etc.), the works of an individual philosopher (e.g., Plato, Hegel, Hume, Kant, Descartes, etc.), or the critical examination of a philosophically challenging concept (e.g., freedom, value, meaning, truth, relativism, rights, justice, etc.)"
PHILOSOPHY,PHIL 495 Teaching Assistantship in Philosophy ,3 cr,Prerequisite: Minimum of 18 semester hours in philosophy and department approval,Provides assistance to philosophy majors who intend to pursue active teaching careers in the discipline. Students will be assigned to a department member to assist in the teaching of lower-level courses.
PHILOSOPHY,PHIL 500 Directed Independent Study,1 to 3 cr,"Prerequisite: A 100-level and a 200-level philosophy course, junior/senior status, department approval",Open to juniors and seniors who wish to read in a given area or to study a topic in depth. Written reports and frequent conferences with the advisor are required.
PHILOSOPHY,PHIL 540 Philosophy Internship,3 to 9 cr,Prerequisite: Senior status and department approval,"Philosophy is applicable to a wide range of professions and activities (e.g. law, business, education, public service). The philosophy internship is designed to allow advanced students with a particular focus or career goal to design and pursue such applications with faculty suspervision including a significant component of writing about their experiences. Up to  9 credits per semester, three of which may apply to minimum major requirements."
PHYSICS,PHYS 115 Physics for Future Presidents ,3 cr,Prerequisite: None,"Focuses on the physics and technology associated with current complex world issues, including energy production, climate change, water supply, privacy issues, etc. Provides an overview of the physics needed to know in order to make wise, informed decisions about issues such as these. Strongly recommended for physics majors. Course attributes: CST."
PHYSICS,PHYS 120 Introduction to Engineering ,4 cr,Prerequisite: None,"Introduces students to basic scientific methodology, current problems and fundamental principles of engineering design. Intended for nonscience majors and potential engineering students. Required laboratory introduces fundamental science and engineering principles through collaborative projects such as robotics. Required laboratory. Course attributes: CSTL."
PHYSICS,PHYS 131 General Physics I ,4 cr,Prerequisite: None,"This is the first of a two-semester sequence, designed primarily for students in the biological and health sciences and others who desire a rigorous but non-calculus-based course that presents a complete introduction to physics. Covers vectors, one and two dimensional motion, Newton's laws, and rotational motion, conservation of energy and momentum, gravitation, wave motion, sound, heat and thermodynamics. Required laboratory. Course attributes: CSTL."
PHYSICS,PHYS 132 General Physics II ,4 cr,Prerequisite: PHYS 131,"This is the second of a two-semester sequence, designed primarily for students in the biological and health sciences and others who desire a rigorous but non-calculus-based course that presents a complete introduction to physics. Covers geometrical optics, electricity and magnetism, electronics, modern physics, relativity. Required laboratory. Course attributes: CSTL."
PHYSICS,PHYS 140 Astronomy ,3 cr,Prerequisite: None,"Looks at historical and modern aspects of astronomy. Topics covered will include: the Earth-Moon system, our solar system, galaxies, the observable universe, as well as current research in astronomy, including quasars, pulsars, black holes, other planetary systems and the search for extraterrestrial life. Course attributes: CST."
PHYSICS,PHYS 151 Introduction to Mechanics ,4 cr,Prerequisite: MATH 150 or MATH 220,"First course in a three-course introductory physics sequence which utilizes a calculus-based approach to study the natural world. This course focuses on kinematics, dynamics, conservation of energy and momentum, and rotational motion. Required Laboratory. Course attributes: CSTL."
PHYSICS,PHYS 200 Seminar for Physics Majors ,1 cr,Prerequisite: None,"Explores the discipline of physics in order to support majors in their academic work and help them understand their career options. Explores the diversity of fields within physics through presentations, reading and writing activities and interactions with peers and mentors. This seminar is required for all MCLA physics majors."
PHYSICS,PHYS 251 Introduction to Electricity & Magnetism,4 cr,"Prerequisite: PHYS 151, MATH 220","Second course in a three-course introductory physics sequence which utilizes a calculus-based approach to study the natural world. This course focuses on electricity and magnetism, including Maxwell's Laws. Required Laboratory. Course attributes: CSTL."
PHYSICS,"PHYS 252 Introduction to Waves, Optics, and Relativity ",4 cr,"Prerequisite: PHYS 251, MATH 320","Third course in a three-course introductory physics sequence which utilizes a calculus-based approach to study the natural world. This course focuses on waves, optics, and special relativity. Required Laboratory."
PHYSICS,PHYS 301 Classical Mechanics ,3 cr,"Prerequisite: PHYS 252, MATH 330","Studies particle motion in two- and three-dimensions, systems of particles, rigid bodies, moving coordinates systems, and Lagrange's equations."
PHYSICS,PHYS 303 Electricity and Magnetism ,3 cr,"Prerequisite: PHYS 252, MATH 330","Studies electrostatics, magnetostatics, electrodynamics, Maxwell's equations and its aplications. Applications include electromagnetic properties of matter, wave propagation, radiating systems and special relativity."
PHYSICS,PHYS 305 Electronics ,3 cr,Prerequisite: PHYS 351,"Provides experience in building and analyzing analog and digital circuits and becoming familiar with the standard electronics lab equipment, such as oscilloscopes, power supplies, function generators, and multimeters. Students will build circuit containing resistors, capacitors, inductors, transistors, and logic gates and analyze these circuits, which entails calculating the theoretical output (voltage, current, signal shape) and comparing these predictions to the experimental output."
PHYSICS,PHYS 351 Modern Physics ,4 cr,Prerequisite: PHYS 252,Studies the discovery of various physical phenomena which led to the development of quantum mechanics and introductory quantum mechanics. Required Laboratory.
PHYSICS,PHYS 361 Mathematical Physics ,3 cr,Prerequisite: MATH 320,"Presents mathematical methods of use in the solution of physical problems. Topics covered include linear equations: vectors, matrices, and determinants, multiple integrals: applications of integration, vector analysis, ordinary and partial differential equations, coordinate transformations and tensor analysis, and probability."
PHYSICS,PHYS 401 Advanced Physics Laboratory I ,3 cr,Prerequisite: PHYS 252,Studies laboratory techniques to supplement senior physics courses or work on special projects with departmental approval. Use of current computer technology is integral.
PHYSICS,PHYS 402 Advanced Physics Laboratory II ,3 cr,Prerequisite: PHYS 401,Continues Physics 401. Use of current computer technology is integral.
PHYSICS,PHYS 403 Introduction to Particle Physics ,3 cr,Prerequisite: PHYS 351,"Introduces the concepts necessary to understand the structure of matter at the most fundamental level. Considers matter in terms of its most elementary constituents, and discusses the properties, classifications, and forces which act on these particles. Discusses the relationship between conservation laws and symmetries. The experimental study of elementary particles is discussed throughout the course. Concludes with a discussion of outstanding questions in the field."
PHYSICS,PHYS 404 Introduction to Solid State Physics ,3 cr,Prerequisite: PHYS 351,"Provides an introduction to the physics of solids. Students will characterize the properties of static (crystal structure) and dynamic (lattice vibrations) arrangements of atoms. Students will study electrons in solids and identify key features distinguishing metals, insulators and semiconductors. Semiconductor devises and, time permitting, biological systems will also be discussed."
PHYSICS,PHYS 460 Statistical Thermodynamics ,3 cr,Prerequisite: PHYS 252,"Studies statistical techniques applied to physical phenomena. Topics include kinetic theory of gasses, classical thermodynamics and quantum statistical physics."
PHYSICS,PHYS 471 Quantum Mechanics ,3 cr,Prerequisite: PHYS 351,"Studies inadequacies of classical mechanics and explores ways of describing nature at the atomic level. Topics include the Schrodinger equation and its solutions for various simple systems, expectation values, operator formalism and matrix representation."
PHYSICS,PHYS 499 Teaching Assistantship in Physics,1 to 3 cr,Prerequisite: Department approval,Provides the opportunity for a student to assist in the preparation and/or implementation of a physics course.
PHYSICS,PHYS 500 Directed Independent Study,1 to 3 cr,"Prerequisite: Junior/senior status, department approval",Open to juniors and seniors who wish to read in a given area or to study a topic in depth. Written reports and frequent conferences with the advisor are required.
PHYSICS,PHYS 510 Independent Research,1 to 3 cr,Prerequisite: Department approval,Participation in research in physics under the direction of a member of the physics faculty in a specific area.
PHYSICS,PHYS 540 Physics Internship,3 to 15 cr,"Prerequisite: Department approval, junior/senior status",Offers the upper-level physics major an opportunity to practice physics in an appropriate professional situation. The student will work with a faculty sponsor and an offcampus supervisor in gaining experience significant to the major.
PHYSICS,PHYS 580 Special Topics in Physics,1 to 4 cr,Prerequisite: Department approval,"Studies concepts, problems, issues, topics or themes that are important in the field of physics. Special topic seminars may explore a variety of topics including but not limited to: physics for educators, solid state physics, robotics and engineering applications. Lab may be required depending on topic."
POLITICAL SCIENCE,POSC 201 U.S. Government and Public Policy ,3 cr,Prerequisite: None,"Introduces the major institutions of national and state government and the discipline of political science. Through interdisciplinary study, students will develop an understanding of political behavior and the public policy processes in the United States. Course attributes: CSS, ENVI."
POLITICAL SCIENCE,POSC 202 Comparative Government and Public Policy ,3 cr,Prerequisite: None,"Provides a comparative introduction to world political cultures and the discipline of political science. Through an interdisciplinary study of various nation-states, students will develop an understanding of political behavior and public policy processes. Course attributes: CSS, ENVI."
POLITICAL SCIENCE,POSC 205 International Relations ,3 cr,Prerequisite: None,"Studies relations among nation-states. Analyzes the nature of world political systems by examining concepts of power, political economy, decision-making, nongovernmental actors, international organizations, and political ideology. Course attributes: CRCU."
POLITICAL SCIENCE,POSC 210 Political Science Research and Methods ,3 cr,Prerequisite: None,"Provides students with an understanding of various theoretical approaches to the study of politics and the public policy processes, as well as developing skills in social science quantitative and qualitative research methods."
POLITICAL SCIENCE,POSC 300 Politics and the News Media in America ,3 cr,Prerequisite: Junior/senior status,"Examines politics in 20th century America with an eye to the role and responsibility of the news media in, and the relationship of the press to, politics. Analyzes the print and electronic media and current political campaigns, as well as how politics and the news media have been portrayed in film."
POLITICAL SCIENCE,POSC 304 Constitutional Law ,3 cr,Prerequisite: Junior/senior status,Analyzes constitutional law with special emphasis on civil liberties and civil rights. Legal issues will be examined in the light of relevant social and political conditions. Course attributes: SOCJ.
POLITICAL SCIENCE,POSC 315 Topics in Political Science ,3 cr,Prerequisite: Junior/senior status,"Focuses on political science and government in national, regional, and international organizations throughout the world. Topics include: The United Nations; State and Local Government; Politics and Economics of the Pacific Rim; Vietnam."
POLITICAL SCIENCE,POSC 316 Topics in Public Policy ,3 cr,"Prerequisite: POSC 201, POSC 202",Focuses on selected public policies and the policy process in the United States and/or state governments.
POLITICAL SCIENCE,POSC 331 Africa ,3 cr,Prerequisite: Junior/senior status,"Examines the nation-building issues facing the countries of Africa. Students will study the African triple heritage (indigenous culture, Islam, and Western colonialism) to gain insights into contemporary political and economic issues. Course attributes: CRCU."
POLITICAL SCIENCE,POSC 340 Inequality and Social Policy ,3 cr,Prerequisite: SOCI 100 or any Self & Society course,"Examines social welfare policies and programs from the New Deal to the present analyzing their economic, cultural, historic and political roots. Emphasis on selected issues such as poverty and inequality, healthcare, abuse and neglect, daycare and parental leave. Examines social welfare policies as expressions of American values and political processes and compares American programs to those of other industrialized countries. Special attention paid to the experience of social program recipients. Course attributes: C&FS, SOCJ, WMST."
POLITICAL SCIENCE,POSC 401 Seminar: Problems in Political Science ,3 cr,Prerequisite: Junior/senior status and courses in political science or a related discipline at the 300 level,"Explores in depth a particular problem, concept, issue, topic, or theme in political science. Topics include: The American Presidency; The Public Policy Process; The American Political Tradition."
POLITICAL SCIENCE,POSC 402 Seminar: Problems in Political Science,3 cr,Prerequisite: Junior/senior status and courses in political science or a related discipline at the 300 level,"Explores in depth a particular problem, concept, issue, topic, or theme in political science. Topics include: The American Presidency; The Public Policy Process; The American Political Tradition."
POLITICAL SCIENCE,POSC 403 Seminar in Public Policy ,3 cr,Prerequisite: Junior/senior status and courses in political science or related discipline at the 300 level,Explores the public policy process in the United States and/or those of political systems in other nations. Topics include: U.S. Public Policy; Comparative Public Policy; State and Local Government.
POLITICAL SCIENCE,POSC 450 Career and ePortfolio Workshop ,1 cr,"Prerequisite: PSPP major, senior status","Provides senior students majoring in Political Science and Public Policy with an opportunity and framework to reflect on their past work in the major and the wider liberal arts as well as look foward to opportunities and challenges after graduation. Completion of an ePortfolio will be an essential component. Students will work with the instructor, career service professionals, and alumni to understand career and graduate school possibilities and prepare strategies for success."
POLITICAL SCIENCE,POSC 500 Independent Study,1 to 3 cr,Prerequisite: Department approval,Open to juniors and seniors who desire to read widely in a given area or to study a specific topic in depth. Written reports and frequent conferences with the advisor are required.
POLITICAL SCIENCE,POSC 510 Teaching Assistant in Political Science ,3 cr,Prerequisite: Department approval,"Offers highly qualified majors in history or minors in political science an opportunity to assist an instructor in the conduct of an introductory course. The student may be held responsible for grading papers, conducting classes and review sessions, etc."
POLITICAL SCIENCE,POSC 540 Internship in Political Science,3 to 15 cr,"Prerequisite: Junior/senior status, department approval","Qualified students may be placed as interns in state, local and national government agencies, law offices, museums, schools or businesses."
PSYCHOLOGY,PSYC 100 Introduction to Psychology ,3 cr,Prerequisite: None,"Introduces students to the science of psychology, presenting the basic principles of mental processes and behavior. To introduce the process of empirical investigation, research participation is required. Course attributes: CSS."
PSYCHOLOGY,PSYC 208 Applied Developmental Psychology ,3 cr,Prerequisite: PSYC 100 or a 100-level Self & Society course,"Examines developmental theory and research from an applied perspective. Physical, cognitive, language, social and emotional development from early childhood through adolescence will be covered with an emphasis on application. (Students cannot receive credit for both PSYC 208 and PSYC 210). Course attributes: C&FS."
PSYCHOLOGY,PSYC 210 Developmental Psychology ,3 cr,Prerequisite: PSYC 100 or SOCI 100 or a 100-level Self & Society course,"Examines the development of the child through adolescence, including neonatal and prenatal development. Major theories of physical, cognitive and social development are discussed. The research methods and controversial issues in developmental psychology are emphasized. (Students cannot receive credit for both PSYC 210 and PSYC 208). Course attributes: C&FS."
PSYCHOLOGY,PSYC 230 Social Psychology ,3 cr,Prerequisite: PSYC 100 or SOCI 100 or a 100-level Self & Society course,"Examines human social behavior emphasizing environmental and situational factors. Theoretical and applied issues are considered within selected topics. (Psychology majors cannot receive core Self & Society credit for PSYC 230). Course attributes: CSS, LDRS."
PSYCHOLOGY,PSYC 270 Abnormal Psychology ,3 cr,Prerequisite: PSYC 100 or a 100-level Self & Society course,"Examines theoretical perspectives of maladaptative behavior and the concepts of stress, coping, normality and abnormality. Emphasis on assessment, diagnosis, and treatment of psychological disorders of childhood, adolescence and adulthood."
PSYCHOLOGY,PSYC 290 Psychological Research and Statistics I ,4 cr,Prerequisite: PSYC 100 and Tier I Quantitative Reasoning,Introduces the nature of empirical investigation in psychology and the role of data analysis in psychological research. Students learn the value of research methodology as applied to the field of psychology with a focus on concepts and interpretation of basic research design and statistical analysis. A weekly lab introduces data analysis software applications.
PSYCHOLOGY,PSYC 291 Psychological Research and Statistics II ,4 cr,Prerequisite: Grade of C or better in PSYC 290,"A continuation of PSYC 290, extending the nature of empirical investigation in psychology to specific research designs and statistical analyses. The course focuses on concepts, interpretation and applications of methodology and data analysis used by psychologists, including topics of ethics and APA style. Mastery of course material will be demonstrated by a completed research paper; weekly lab extends students' knowledge of statistical analysis software applications."
PSYCHOLOGY,PSYC 299 Sophomore Seminar in Psychology ,3 cr,Prerequisite: PSYC 100,"Introduces and explores empirical research, theory and applications in selected areas of psychology. Emphasis will be placed on library research and class discussion. Critical reading and analysis skills will be assessed through several papers and presentations."
PSYCHOLOGY,PSYC 310 Cognitive Psychology ,3 cr,Prerequisite: PSYC 291,"Studies knowing, learning, thinking and language. Topics include theories of cognition, language, attention, problem solving, memory, consciousness and creative thinking."
PSYCHOLOGY,PSYC 316 Behavior Analysis ,3 cr,Prerequisite: PSYC 100,"Introduces the field of behavior analysis, examining behavior analytic history, philosophy, concepts and principles. Techniques and strategies inside and outside the laboratory will be discussed in detail. Students learn the basics of data-based approaches to behavior treatment. Concepts will be illustrated during discussion of a wide variety of behavior problems associated with developmental disabilities, substance abuse, physical fitness and academic delays."
PSYCHOLOGY,PSYC 325 Environmental Psychology ,3 cr,Prerequisite: 200 level PSYC or SOCI course or completion of Tier II Self & Society domain,"Examines the relationship between the natural and built physical environment from a multidisciplinary perspective. Focuses on the behavioral effects of spatial design, noise, privacy, personal space and climate."
PSYCHOLOGY,PSYC 331 Biological Psychology ,3 cr,Prerequisite: PSYC 291,"Examines the relationships between brain function and behavior using concepts from psychology and biology. Topics include motivation and emotion, learning and memory, sensory systems and perception, language disabilities and mental disorders."
PSYCHOLOGY,PSYC 332 Drugs and Human Behavior ,3 cr,"Prerequisite: One 200-level PSYC, BIOL, or CHEM course","Examines the use and abuse of drugs from biological, psychological and cultural points of view. Addresses contemporary efforts in education, prevention and treatment of abuse."
PSYCHOLOGY,PSYC 335 Organizational Psychology ,3 cr,Prerequisite: 200 level PSYC or SOCI or BADM course or completion of Tier II Self & Society domain,"Emphasizes the application of psychological theory and techniques to the management of behavior in structured organizations. Focuses on the concepts of motivation, leadership, and interpersonal and group process. Course attributes: LDRS."
PSYCHOLOGY,PSYC 340 Psychology of Children with Special Needs ,3 cr,Prerequisite: PSYC 208 or PSYC 210,"Examines the special needs of children, the methods used to determine these needs, and the procedures used to meet these needs. Course attributes: C&FS."
PSYCHOLOGY,PSYC 350 Theories of Personality ,3 cr,Prerequisite: PSYC 291,Examines classical and contemporary approaches to personality theory. Emphasizes application and empirical support for theoretical positions.
PSYCHOLOGY,PSYC 355 Human Sexuality ,3 cr,Prerequisite: 200 level PSYC or SOCI course or completion of Tier II Self & Society domain,"Examines the field of human sexuality from psychological, biological and sociological perspectives. In covering a wide range of contemporary topics, emphasis is on empirical, verifiable scientific information. Course attributes: C&FS, WMST."
PSYCHOLOGY,PSYC 356 Psychology of Gender ,3 cr,Prerequisite: 200 level PSYC or SOCI course or completion of Tier II Self &Society domain,"Focuses on the similarities and differences between males and females, masculinity and femininity. Explores the origins and maintenance of gender stereotypes and their consequences. Course attributes: C&FS, WMST."
PSYCHOLOGY,PSYC 357 Psychology of Women ,3 cr,Prerequisite: 200 level PSYC or SOCI course or completion of Tier II Self & Society domain,Explores psychological and sociocultural issues concerning women in our society. Women's experiences will be covered in areas that are stereotypically thought of as male-oriented as well as those more exclusive to females. Course attributes: WMST.
PSYCHOLOGY,PSYC 360 Measurement and Assessment ,4 cr,Prerequisite: PSYC 291,"Introduces concepts related to psychological testing and measurement. Topics will include measurement theory, psychometric principles, ethics of measurement and assessment, and measurement design in different settings (government, clinical, educational, and/or industrial/ organizational). Mastery of course material determined by design, administration, interpretation and critique of assessments. Content identified by subtitle. This course is repeatable for a maximum of  8 crs. Required laboratory."
PSYCHOLOGY,PSYC 369 Forensic Psychology ,3 cr,Prerequisite: Completion of Tier II Self & Society domain,"Explores psychological aspects of human behavior and sociocultural issues as applied to law and the legal system. The role of forensic psychology in the production and application of psychological knowledge will be discussed by examining a number of social issues. Although the focus is primarily on criminal and civil cases, a broad perspective of forensic psychology will be covered, allowing the work of social scientists, jurists, clinicians and judges to be viewed in a systemic context."
PSYCHOLOGY,PSYC 370 Human Communication and Perception ,3 cr,Prerequisite: PSYC 291,"Presents an information processing approach to how we perceive and communicate about the world. Also examines our acquisition and use of language, as well as societal influences on perception and thought."
PSYCHOLOGY,PSYC 375 Health Psychology ,3 cr,Prerequisite: 200 level PSYC course or completion of Tier II Science & Technology domain,"Studies health and illness within the conceptual and methodological context of psychology, epidemiology, development, neuroscience and behavioral medicine. Examines and contrasts medical, psychological, and alternative models of disease and wellness."
PSYCHOLOGY,PSYC 376 Sport Psychology ,3 cr,Prerequisite: Completion of Tier II Self & Society domain,"Introduces students to the current research and theoretical perspectives related to various psychological and psychosocial components of exercise, sport participation and competition. Personality, motivation, social facilitation, anxiety, aggression and other factors that influence individuals and teams/groups are examined."
PSYCHOLOGY,PSYC 380 Educational Psychology ,3 cr,"Prerequisite: 200 level PSYC course, CCSS 269, or completion of Tier II Self & Society domain","Studies the conditions and theories of classroom learning. Scope: instructional objectives, task analysis, conditioning, concept and rule learning, problem solving, memory, transfer and motivation. Course attributes: C&FS."
PSYCHOLOGY,PSYC 386 Adolescent Development ,3 cr,Prerequisite: One 200-level PSYC course,"Examines the cognitive, social, emotional and physical development of the adolescent from a psychological perspective. Psychological and social problems that may arise during adolescence are discussed. Course attributes: C&FS."
PSYCHOLOGY,PSYC 387 Childhood Disorders ,3 cr,Prerequisite: PSYC 208 or PSYC 210,"Examines the etiology and clinical characteristics of behavioral disorders in infancy through adolescence, including emotional disturbances, anxiety and conduct disorders, mental retardation and learning disabilities. Emphasis on theoretical perspectives, research, assesment, early intervention and prevention. Course attributes: C&FS."
PSYCHOLOGY,PSYC 388 Adulthood and Aging ,3 cr,Prerequisite: One 200-level PSYC course,"Examines cognitive, social, emotional, and physical development during adulthood from a psychological perspective. Studies the impact of an increased life span on society and concludes with a psychological examination of death and dying."
PSYCHOLOGY,PSYC 390 Research Design and Analysis ,4 cr,Prerequisite: PSYC 291,"Focuses on advanced methodology, data analysis and interpretation in psychological research. A research project is required. Required laboratory."
PSYCHOLOGY,PSYC 391 Research Assistant in Psychology,1 to 3 cr,"Prerequisite: 200-level PSYC course, instructor approval","Provides opportunities for students to assist faculty in conducting empirical research. Particular responsibilities may include data collection, statistical analyses and other activities involved in planning and conducting research in psychology. Amount of credit will be determined by the faculty supervisor in consultation with the student. The course may be repeated up to a maximum of six credits with all grades assigned as pass/fail. Enrollment requires permission of the instructor."
PSYCHOLOGY,PSYC 397 Research Seminar: ,4 cr,Prerequisite: Instructor approval,"Applies research design and practice to selected problems. Includes literature review, deriving and empirically testing hypotheses. Requirements involve preparation of laboratory and other research materials, recruitment of participants and collection, analysis, and interpretation of resulting data. Culminates in preparation and submission of a complete report of the research project. Content identified by subtitle. This course is repeatable for a maximum of 8 crs. Required laboratory."
PSYCHOLOGY,PSYC 399 Honors Seminar in Psychology ,3 cr,Prerequisite: PSYC 291,"Surveys and critically examines selected areas and issues in psychology. Emphasizes multidisciplinary and interdisciplinary approaches to the topics selected for study. Designed for junior and senior majors intending graduate study in psychology, the seminar requires students to develop a program of reading, give oral presentations and complete a literature review paper."
PSYCHOLOGY,PSYC 410 History of Psychology ,3 cr,Prerequisite: PSYC 291 and completion of 9 upper-divison credits in psychology,"Examines the development of psychology as a science, an academic discipline, and a profession. Includes a comparative analysis of major contemporary theories in psychology."
PSYCHOLOGY,PSYC 416 Research in Behavior Analysis ,3 cr,Prerequisite: PSYC 316,"Participate in the design, implementation, analysis and dissemination of empirical research. Students will examine the strategies and rationale underlying within-subject designs through exposure to recently published articles from the behavior analytic literature. The relationship between experimental and applied research will be examined closely. All students will prepare an APA-style manuscript describing their research project."
PSYCHOLOGY,PSYC 440 Counseling Methods in Psychology ,3 cr,Prerequisite: PSYC 270,Studies techniques applicable in the helping services and counseling. Theories of counseling and basic psychotherapy will be reviewed. Experiential sessions will demonstrate established theories.
PSYCHOLOGY,PSYC 460 Human Behavior in Cross-Cultural Perspective,3 cr,Prerequisite: 200-level PSYC or SOCI course or completion of Tier II Self & Society domain,"Examines similarities and differences in human behavior across cultural contexts. Includes study of socialization practices, interpersonal behavior patterns, personality variables and cognitive processes."
PSYCHOLOGY,PSYC 470 Teaching Assistant in Psychology,1 to 3 cr,Prerequisite: Instructor approval,Provides the opportunity for students to assist a faculty member in the preparation and implementation of a psychology course. Particular responsibilities may include providing support with class activities and assisting students enrolled in the course. Amount of credit will be determined by the faculty supervisor in consultation with the student. The course is graded pass/fail. Enrollment requires permission of instructor.
PSYCHOLOGY,PSYC 495 Special Topics in Psychology ,3 cr,Prerequisite: Junior/senior status and completion of Tier II Self & Society domain,Explores one or more special topics in psychology. Topic will be specified when the course is offered.
PSYCHOLOGY,PSYC 496 Research in Psychology ,3 cr,Prerequisite: Instructor approval,For junior and senior psychology majors who choose to conduct psychological research independently in a specific area. The research will be carried out under the direction of the faculty supervisor and will require a substantive scholarly report of the research. The course may be repeated for credit with the permission of a faculty member. The course is graded pass/fail. Enrollment requires permission of the instructor.
PSYCHOLOGY,PSYC 499 Advanced Seminar in Psychology ,3 cr,Prerequisite: PSYC 291 and completion of 9 upper-division credits in PSYC,An intensive examination of a selected topic in psychology. Mastery of the seminar material will be assessed by the completion of an APA-style paper.
PSYCHOLOGY,PSYC 500 Independent Study,1 to 3 cr,"Prerequisite: Junior/senior status, department approval",Open to juniors and seniors who wish to read in a given area or to study a topic in depth. Written reports and frequent conferences with the advisor are required. Enrollment requires individual application and permission of the department.
PSYCHOLOGY,PSYC 516 Functional Assessment and Intervention ,3 cr,Prerequisite: PSYC 316,Receive an intensive overview of behavior assessment strategies designed to determine the environmental factors that influence behavior problems. Examples from recent literature will be examined in depth with a focus on applications to educational and other settings. All students will conduct three simulated functional assessments and behavior plans.
PSYCHOLOGY,PSYC 540 Psychology Internship,3 to 15 cr,"Prerequisite: Junior/senior status, department approval","Provides opportunities in a variety of public agencies and private organizations to gain practical experience and to develop skills in applying psychological theories, principles, methods and techniques to the management of problems of human development, thought, adjustment and behavior. Enrollment requires individual application and permission of the department."
PSYCHOLOGY,PSYC 550 Senior Thesis ,3 cr,"Prerequisite: Senior PSYC major, department approval","Requires completion of a formal thesis on a significant topic in psychology. Intended for senior psychology majors, a literature review and proposal, along with approval of two members of the psychology faculty, is required prior to enrollment in the thesis course."
PSYCHOLOGY,PSYC 552 NECC: Advanced Learning ,3 cr,Prerequisite: Department approval,"Provides an overview of modern behavior analytic concepts and terminology. Beginning with an examination of the history and assumptions of modern behaviorism, students will learn the competencies of behavior analysis in relation to working with children with special needs. Requires acceptance and enrollment in MCLA-NECC cooperative program."
PSYCHOLOGY,PSYC 553 NECC: Functional Analysis and Treatment of Behavior Disorders ,3 cr,Prerequisite: Department approval,"Covers the goals and strategies of behavioral assessment. Students will learn indirect, descriptive and experimental assessments. All students will perform a descriptive funcational analysis and an analog functional analysis. Required acceptance and enrollment in MCLA-NECC cooperative program."
PSYCHOLOGY,PSYC 554 NECC: Systematic Inquiry in Applied Research ,3 cr,Prerequisite: Department approval,Students will read and discuss recently published articles in the field of Applied Behavior Analysis. Class sections will focus on student presentations and discussion of articles selected by the instructor. The goal is to further student knowledge and inquiry in applications of empirical research in applied behavior analysis. Requires acceptance and enrollment in MCLA-NECC cooperative program.
