description,title,prerequisites,schedule_type,levels,department
,MECH 3750 - MACHINE DESIGN I,,"Laboratory, Lecture",Undergraduate,Mech Engineering and Tech
Presents topics that are not covered by existing courses and are likely to change from semester to semester. Refer to the Class Schedule for a specific semester for details of offerings for the semester.,MECH 3800 - SPECIAL TOPICS MECHANICAL,,"Hybrid, Individualized Study, Laboratory, Lecture, Online",Undergraduate,Mech Engineering and Tech
"This course covers the kinematics and kinetics of particles and rigid bodies. Kinetic problems are analyzed by utilizing the second law of Newton, work and energy and impulse momentum methods. Dynamics simulation software is used to reinforce the theory.",MECH 3850 - ENGINEERING DYNAMICS,MECH2300 - Engineering Statics and MATH2500 - Differential Equations,"Laboratory,",Undergraduate,Mech Engineering and Tech
"Conduction, convection, and thermal radiation heat transfer mechanism are described. Steady-state and transient conduction problems are discussed. Convective heat transfer mechanisms and various correlations to evaluate the heat transfer coefficient are discussed. Heat exchanger analysis and thermal radiation heat transfer between surfaces are presented. Laboratory experiences enforce the classroom theory.",MECH 3900 - ENGINEERING HEAT TRANSFER,"MECH2250 - Engineering Thermodynamics and MECH3100 - Engineering Fluids, and MATH2500 - Differential Equations","Hybrid, Lecture, Online",Undergraduate,Mech Engineering and Tech
"General theory of free, damping and forced vibrations with one and two degrees of freedom; vibration suppression and isolation; natural frequencies and mode shapes in continuous mechanical systems through analytical method and numerical simulation.",MECH 4000 - MECHANICAL VIBRATION,MATH2500 - Differential Equations and MECH2500 - Mechanics of Materials and MECH3850 - Engineering Dynamics.,Lecture,Undergraduate,Mech Engineering and Tech
"This subject includes a study of the fundamental laws governing the transfer of heat by conduction, convection and radiation, in both steady and unsteady state. It will also cover extended surfaces and heat exchangers. Analytical, numerical and graphical solutions will be presented. Prerequisite: MECH255 - Thermodynamics or equivalent and MECH270 - Fluid Mechanics. Corequisite: MATH620 - Applied Differential Equations I or equivalent.",MECH 4011 - HEAT TRANSFER,,Lecture,Undergraduate,Mech Engineering and Tech
"This course covers fundamental concepts of modern instrumentation, methods to collect, understand and interpret data, and techniques to obtain measurements of physical properties and quantities related to the field of mechanical engineering technology.",MECH 4022 - INSTRUMENTATION & MEASUREMENT,"MECH180 Strength of Materials, MECH255 Thermodynamics, MECH270 Fluid Mechanics, and ELEC130 Electricity and Electronics","Laboratory, Lecture",Undergraduate,Mech Engineering and Tech
"The kinematics and kinetics of particles and rigid bodies are analyzed using vectors, rectilinear and curvilinear motion, work, energy, impulse, and momentum.",MECH 4033 - DYNAMICS,"Junior status, MECH343 Statics and MATH510 Calculus III","Laboratory, Lecture",Undergraduate,Mech Engineering and Tech
,MECH 4040 - MECHANISMS AND MACHINES,,"Laboratory, Lecture",Undergraduate,Mech Engineering and Tech
This 3-D CAD course focuses upon establishing design intent for mechanical systems. Various engineering design tools will be utilized including FEA.,MECH 4044 - MECH CAD APPS II,Senior status and MECH395 Mechanical CAD Applications I,"Laboratory, Lecture",Undergraduate,Mech Engineering and Tech
"This capstone project course is for senior-level mechanical engineering technologystudents who will formulate a topic and develop a project for an innovative techno-logical device or system. Students are encouraged to take an interdisciplinary approach to their design project, and the work will be performed under the direction of one or more faculty advisors. Course requirements include oral and written progress reports throughout the semester plus a final comprehensive technical report.",MECH 4055 - MECHANICAL DESIGN PROJECT,Senior status and MECH591 Instrumentation and Measurements,"Laboratory, Lecture",Undergraduate,Mech Engineering and Tech
This 3-D computer aided design course provides experience in mechanical engineering simulation and design verification analysis. Finite Element Analysis of parts and assemblies are conducted.,MECH 4200 - SIMULATION BASED DESIGN,MECH3000 - Design of Machine Elements and  MECH3100 - Engineering Fluid Mechanics and MECH3900 - Engineering Heat Transfer,"Laboratory, Lecture",Undergraduate,Mech Engineering and Tech
"Studies vapor power systems including the Rankine cycle and its modifications for use with both fossil and nuclear fuels, vapor compression refrigeration systems, and all-gas cycles including the Brayton cycle and its modifications; the Otto cycle; the Diesel cycle; and supercharging and turbo-charging. Introduces the concepts of exergy and second law efficiency. Studies non-reacting mixtures with applications to air/water/vapor mixtures for air conditioning systems and cooling towers. Discusses the elements of optimum power plant design. Laboratory experiences enforce the classroom theory. Prerequisite: MECH505/2250.",MECH 4400 - ENGINEERING THERMAL DESIGN,,"Laboratory, Lecture",Undergraduate,Mech Engineering and Tech
"Stress analysis, the development of strain, stress concentrations, failure theories and fatigue are studied. Shafts, gears, and other elements are also considered. Laboratory problems and appropriate projects are assigned.",MECH 4425 - ADV MECHANICS OF MATERIALS,MECH2500 - Mechanics of Materials and COMP1299 - Computer Science I using C and MATH2025 - Multivariable Calculus and MATH3100 - Probability and Statistics for Engineers.,"Laboratory, Lecture",Undergraduate,Mech Engineering and Tech
,MECH 4850 - AUTO CONTROL SYSTEM,,Lecture,Undergraduate,Mech Engineering and Tech
This capstone research-based course is for senior-level mechanical engineering students who will formulate a topic and initiate their capstone project for an innovative technological device or system. Students are encouraged to take an interdisciplinary approach to their design project with research directed by one or more faculty advisors.,MECH 5000 - MECHANICAL CAPSTONE ANALYSIS,Senior status,"Laboratory, Lecture",Undergraduate,Mech Engineering and Tech
"This capstone project course is for senior-level mechanical engineering students who will formulate a topic and develop a project for an innovative technological device or system. Students are encouraged to take an interdisciplinary approach to their design project, and the work will be performed under the direction of one or more faculty advisors. Course requirements include oral and written progress reports throughout the semester plus a final comprehensive technical report.",MECH 5500 - MECHANICAL CAPSTONE PROJECT,Senior status and MECH4200 - Simulation Based Design,"Laboratory, Lecture",Undergraduate,Mech Engineering and Tech
"This informational seminar focuses on student discovery as related to the management discipline, careers, models and theories, and management research techniques. This seminar also introduces students to the concentrations within the management program. In addition, management concepts as they pertain to the field of facilities planning and management will be included (long range planning and development, business continuity/disaster recovery, developing effective service models etc.) The roles and environments of project management will also be reviewed.",MGMT 1000 - INTRODUCTION TO MANAGEMENT,enrollment in BFPM or BSM,Lecture,Undergraduate,Management and Facilities
"This course surveys major areas of project management: design processes, scheduling, financing, production, marketing, and distribution. Organizational structures will also be discussed.
                            Prerequisite:",MGMT 1010 - INTRO TO PROJECT MANAGEMENT,,"Hybrid, Online",Undergraduate,Professional Continuing Educ
"This course covers the implementation of computer programs for several business areas including marketing and accounting. Students will gain intermediate to advanced level word processing, spreadsheets, database, and presentation skills. Students will also gain skills using Web development, project management, and accounting tools.",MGMT 1025 - COMPUTER BUSINESS APPLICATIONS,,"Lecture, Online",Undergraduate,Management and Facilities
This course introduces the basic concept of data analysis and approaches to the decision making process. It is designed to provide students with a sound conceptual understanding of the role that management science plays when making decisions. It emphasizes a wide variety of business modeling and application techniques to the solution of business and economic problems.,MGMT 1500 - DECISION ANALYSIS FOR BUSINESS,MATH1000 - College Mathematics,Lecture,Undergraduate,Management and Facilities
"This course introduces the student to various concepts and considerations involved in the education, design, implementation and operation of Management Information Systems. This is an integrative course that brings together information, computers, and the systems approach.",MGMT 2000 - MANAGEMENT INFORMATION SYSTEMS,MGMT1025 - Computers and Business Applications,"Hybrid, Laboratory,",Undergraduate,Management and Facilities
"A survey of modern manufacturing practices with emphasis placed on the concepts of lean manufacturing. Topics in job design include: capacity planning, ergonomics, and environmentally-friendly manufacturing.",MGMT 2050 - CONTEMPORARY MANUFACTURING,MGMT2200 - Research Methods in Business,Lecture,Undergraduate,Management and Facilities
"This course traces the development of project management as fundamental to completing projects effectively, delineates the leadership tasks that must be accomplished at each step of a project?s life, and helps the student develop skills and wisdom in making decisions both by learning the ramifications of certain decisions and by seeing how those decisions are made in an example project.",MGMT 2060 - INTRO TO TECH PROJECT MGMT,,Lecture,Undergraduate,Management and Facilities
"This course provides a basic understanding of the entrepreneurial / innovation process in both small and large businesses. Students discuss the critical role that opportunity recognition / creation plays in that process. Case studies and class exercises assist students in identifying their own personal goals as well as their unique skills and competencies related to the entrepreneurial / innovation process. Students will also examine how entrepreneurs, inventors and investors create, find, and differentiate between money-making opportunities and wishful thinking.",MGMT 2065 - INTRO TO ENTREPRENEURSHIP,,Lecture,Undergraduate,Management and Facilities
"This course covers basic communication objectives of organizations. Students will demonstrate writing and speaking skills essential for effective managers. Types of communication used in decision-making, the nature, capabilities and limitations will also be explored.",MGMT 2100 - MANAGEMENT COMMUNICATIONS,Completion of an English sequence,"Hybrid, Lecture",Undergraduate,Management and Facilities
This course provides prospective managers with an understanding of the skills necessary to make effective use of formal quantitative and qualitative research and analytical processes.,MGMT 2200 - RESEARCH METHODS IN BUSINESS,MGMT1500 - Decision Analysis for Business,Lecture,Undergraduate,Management and Facilities
"Introduction to technology management concepts and principles, serving as a foundation for further study. Course focuses on the scope of technology management: leadership, innovation, ethics, knowledge management, strategic planning, research, process management, and more.",MGMT 2250 - INTRO TO TECHNOLOGY MANAGEMENT,MGMT1000 - Introduction to Management,Lecture,Undergraduate,Management and Facilities
"This survey course introduces students to the many issues involved in creating and leading a project team. Topics will include, but will not be limited to, the importance of teamwork, barriers to teamwork, leadership skills, and group process. Prerequisite: MGMT1000 - Introduction to Management.",MGMT 2275 - INTRO PROJ PLAN & LEADERSHIP,,Lecture,Undergraduate,Management and Facilities
"This course is aimed at developing understanding of organizational dynamics so that students can develop lasting strategies and actions that build and sustain high performance in individuals, groups, and organizations. The course also examines what people think, feel and do in organizational settings, focusing on individual, group, and organizational processes. Students are introduced to concepts from a vast array of behavioral sciences, including social, clinical and organizational psychology, sociology, and cultural anthropology.",MGMT 2300 - ORGANIZATIONAL BEHAVIOR,,"Hybrid, Online",Undergraduate,Professional Continuing Educ
,MGMT 2400 - BUSINESS RESEARCH METHODS,,"Hybrid, Lecture, Online",Undergraduate,Professional Continuing Educ
"The purpose of this course is to provide the student with an introduction to systems analysis and design. Topics include analyzing the business case, requirements modeling, data and process modeling, and development strategies. Students also learn about output and user interface design, data design, systems architecture and implementation, and systems operation, support and security.",MGMT 2500 - SYSTEMS ANALYSIS AND DESIGN,,Lecture,Undergraduate,Management and Facilities
"This course offers a new perspective on project risk that centers risk management on building a healthy organizational culture that recognizes risk as the consequence of bad planning. The course will present new insights on building a risk management culture, while focusing on project management selection factors and financial return.",MGMT 2600 - PROJECT RISK MANAGEMENT,,"Hybrid, Online",Undergraduate,Professional Continuing Educ
"An introduction to the basics of the accounting process. The course covers the basic techniques of analyzing financial transactions, trial balances, and preparation of financial statements.",MGMT 2700 - FINANCIAL ACCOUNTING,,"Hybrid,",Undergraduate,Management and Facilities
"This course is an introduction to accounting concepts for business students. The accounting cycle; cash, accrual, and preparation of the financial statements and other methods of income measurement will be covered. Accounts receivable, methods of depreciation and payroll accounting also will be discussed.",MGMT 2750 - INTEGRATIVE FINANCIAL ACCOUNTI,,"Hybrid,",Undergraduate,Management and Facilities
"Designed to give the student a broad appreciation of the fundamentals of marketing analysis. Discussions of actual case studies are used to study advertising, personal selling, channels of distribution, marketing research, pricing, new product policy, and the marketing mix.",MGMT 2850 - PRINCIPLES OF MARKETING,Junior status,Lecture,Undergraduate,Management and Facilities
This course investigates a topic of special interest to faculty and students that is outside regular course offerings.,MGMT 2990 - INDEPENDENT STUDY MANAGEMENT,Consent of department head and instructor,"Hybrid, Individualized Study, Laboratory, Lecture, Online",Undergraduate,Management and Facilities
This course examines the human aspects of management and is concerned with the ways in which the interactions of members of the management hierarchy contribute to the achievement of organizational goals. The course utilizes both case studies and textual material allowing students to apply management approaches to a variety of management situations and environments.,MGMT 3000 - MANAGING & LEADING ORGS,junior status,Lecture,Undergraduate,Management and Facilities
"This course examines the purpose and design of contemporary organizations, and explores the impact of change in the workplace of the 21st century. Students are introduced to the structures, functions and responsibilities of organizations, including the various roles of managers in the process of organizing human, financial, physical and technical resources to achieve organizational goals. Current theories and methods for effective planning and managing change will be considered. Changing aspects of organizational leadership will be an important aspect of this course, with a particular emphasis on developing a global mindset and managing across cultures.",MGMT 3050 - LEADERSHIP & MANAGEMENT,,Hybrid,Undergraduate,Professional Continuing Educ
"This course provides a practical project management approach to technology acquisition. The organizational strategic tasks related to technology acquisition and project management are covered. Students will actively participate in a seven-stage project process for technology acquisition, from the initiation phase to the closing operations phase.",MGMT 3060 - TECHNOLOGY ACQUISITION,MGMT2060 - Introduction to Technology Project Management,Lecture,Undergraduate,Management and Facilities
"Entrepreneurial marketing reflects an alternative approach to conventional marketing. Marketing is approached as redefining goods and services (and their markets) in ways that produce a competitive advantage through innovative approaches. This course reviews a strategic approach to marketing built around innovation, calculated risk-taking, resource leveraging, strategic flexibility, customer intensity, and the creation of industry change. We will also explore how marketing and entrepreneurship affect one another. Entrepreneurial marketing has been called subversive marketing, disruptive marketing, radical marketing, guerrilla marketing, viral marketing, expeditionary marketing? all constituting an innovative marketing format. These alternative approaches to conventional marketing are brought together in this course as a fundamental shift that redefines the goods and services, as well as the markets themselves, in ways that produce sustainable competitive advantages. This is a strategic type of marketing built around six core elements: innovation, calculated risk-taking, resource leveraging, strategic flexibility, customer intensity, and the creation of industry change. Traditional internal (company) and external (industry / environment) analyses are employed to illustrate the respective impacts on entrepreneurial marketing, as are the traditional stages of enterprise development. The impact of marketing and entrepreneurship on one another is studied as an emerging concept. Managerial challenges confronting marketers in entrepreneurial ventures are discussed.",MGMT 3065 - ENTREPRENEURIAL MARKETING,MGMT2065 - Introduction to Entrepreneurship,Lecture,Undergraduate,Management and Facilities
The study of the effect of the time value of money and tax consequence on the analysis of engineering problems. Areas such as equipment and project costs and investment transactions are included.,MGMT 3200 - ENGINEERING ECONOMY,"MATH1000, College Mathematics or MATH1035 - College Math B",Lecture,Undergraduate,Management and Facilities
"The course deals with cost accounting information and its use in managerial decision-making. Budgets, cost behavior, and determination, profit and expense planning, production and materials planning are among topics considered.",MGMT 3250 - MANAGERIAL ACCOUNTING,"MGMT2700, Financial Accounting or MGMT2750 - Integrative Financial Accounting","Hybrid,",Undergraduate,Management and Facilities
,MGMT 3300 - PROJECT PLAN SCHED & CONTROL,,"Hybrid, Lecture, Online",Undergraduate,Professional Continuing Educ
"The International Business course discusses both the theories and practices of globalization, focusing upon the differences between domestic and international business. Essential managerial issues including but not limited to cultural and societal environment, trade theory, risk, government involvement, entry modes, economic intergration, emerging markets, financial institutions, marketing and strategy will be reviewed. Combining lectures, discussions, case studies and examination of scholarly articles, students will develop a strong understanding that prepares them to apply those concepts taught in the classroom.",MGMT 3360 - INTERNATIONAL BUSINESS,MGMT3000 - Managing and Leading Organizations.,Lecture,Undergraduate,Management and Facilities
"In this course, students work with intermediate to advanced complex projects. Students can expect to be challenged and actively engaged in their learning. The course will combine external collaboration and interdisciplinary curricula to manage projects that solve real world problems. By working with outside professionals, students/teams will gain a higher-level of complexity employing experiential learning. Students applying for this course will be evalutated by Management faculty and selected for acceptance.",MGMT 3400 - ADVANCED PRATICUM,Departmental Approval,Lecture,Undergraduate,Management and Facilities
"This course is an introduction to basic financial management. Topics include financial analysis and planning, working capital management, the time value of money, valuation, cost of capital, capital budgeting, dividend policy, different types of securities, short-term and long-term financial decision, and an introduction to international finance and international trade organizations.",MGMT 3500 - FINANCIAL MANAGEMENT,MGMT2700 - Financial Accounting or MGMT2750 - Integrative Financial Accounting,"Hybrid, Lecture, Online",Undergraduate,Management and Facilities
"The third course in the Technology Project Management concentration provides experiences in applying the theories of group behavior and team building to the analysis of organizational behavior. This is a course on how to create, foster and manage organizations in which people thrive and perform at their best. It assumes that employee and group thriving is the key to project excellence. Students will have the opportunity to share their thoughts, opinions, and experiences with the class, and will also have the benefit of being able to learn from other students. In addition to lecture segments, students will experience the issues that arise when individuals interact in groups. Demonstrations, in-class exercises, and case-based discussions are featured prominently in this course.",MGMT 3560 - GROUP PROCESSES & TEAM BUILD,MGMT2060 - Introduction to Technology Project Management,Lecture,Undergraduate,Management and Facilities
"This course gives the student a unique understanding of how technology-focused firms are created and provides them with experience commercializing real technologies. Commercialization topics connecting technology and business will be the focus of the class. Topics will include intellectual property, convergence, industry creation, standards, modularity, and strategy. The outcomes will be applied by assessing the commercial potential of real ideas. The final project of student group work will be a business plan or feasibility study for commercializing the new technology.",MGMT 3565 - TECHNOLOGY ENTREPRENEURSHIP,MGMT2065 - Introduction to Entrepreneurship,Lecture,Undergraduate,Management and Facilities
"Current labor law arbitration processes, labor agreements, and the negotiation process are interrelated in actual case studies. Grievance proceedings, wage negotiation, and contract negotiation are treated specifically.",MGMT 3600 - LABOR RELATIONS,Senior status,Lecture,Undergraduate,Management and Facilities
"Current labor law arbitration processes, labor agreements, and the negotiation process are interrelated in actual case studies. Grievance proceedings, wage negotiation, and contract negotiating are treated specifically.",MGMT 3625 - LABOR RELATIONS,Senior status,"Hybrid, Online",Undergraduate,Professional Continuing Educ
"This course is designed to give students a basic understanding of the principles of the American legal system. It covers the foundation of the system and treats topics important to business and industry such as: business organizations, contract laws, torts, and commercial transactions.",MGMT 3650 - BUSINESS LAW,Junior status,"Lecture, Online",Undergraduate,Management and Facilities
"This course surveys what managers need to know about human resource management. The course covers staff planning, recruitment/selection, compensation/benefits, performance management and labor relations.",MGMT 3700 - HUMAN RESOURCES & LABOR MGMT,Junior status,Lecture,Undergraduate,Management and Facilities
This course will explore effective and efficient methods for evaluating project performance. The content deals with measurement of project trends and results through information arising out of the management of the project work breakdown structure. Significant class emphasis is on evaluating project performance measurements applicable to both current project results and future projections to project completion.,MGMT 3750 - PROJECT EVAL & PERFORMANCE,,"Hybrid, Lecture, Online",Undergraduate,Professional Continuing Educ
Presents topics that are not covered by existing courses and are likely to change from semester to semester. Refer to the Class Schedule for a specific semester for details of offerings for the semester.,MGMT 3800 - SPECIAL TOPICS MANAGEMENT,Junior status,"Hybrid, Individualized Study, Laboratory, Lecture, Online",Undergraduate,Management and Facilities
"A study of planning and control methods for industrial and production processes. Typical topics included: scheduling, updating, time-cost analysis, cost control, resource allocation, and the role of personnel in projects.",MGMT 3900 - OPERATIONS MANAGEMENT,Junior status and MGMT2500 - Systems Analysis and Design,"Hybrid, Lecture",Undergraduate,Management and Facilities
"This course is a preparation for MGMT5500, Senior Project, by having students investigate an approved study topic and plan a project for completion in Senior Project.",MGMT 4000 - PROJECT RESEARCH,senior status. CorequisiteMGMT4250 - Strategic Management,Lecture,Undergraduate,Management and Facilities
Students demonstrate their ability to structure and complete an integrative mini project that identifies and resolves an important technology or technology leadership issues(s). Students report the results of their efforts in written and oral form.,MGMT 4060 - TECH PROJECT MGMT SEMINAR,MGMT2060 - Introduction to Technology Project Management,Lecture,Undergraduate,Management and Facilities
"This course provides a practical approach to technology assessment and acquisition through case studies, research, guest speakers and published books. The strategic tasks related to technology assessment/acquisition are covered. Students will learn about technology evaluation and selection methodologies.",MGMT 4065 - TECH ASSESSMENT & ACQUISITION,Junior status and MGMT2250 - Introduction to Technology Management,Lecture,Undergraduate,Management and Facilities
"This course will provide an overview of approaches to leadership. The relationship between the factors of organization, power, and leadership are considered through provocative analysis. This course will include a combination of lecture, discussion, readings in leadership theory, media, role-play, and selfreflection.",MGMT 4100 - POWER & LEADERSHIP IN ORGANIZA,Junior status,"Lecture, Study Abroad",Undergraduate,Management and Facilities
"Designed to give the student a broad appreciation of the fundamentals of marketing analysis. Discussions of actual case studies are used to study advertising, personal selling, channels of distribution, marketing research, pricing, new product policy, and the marketing mix.",MGMT 4150 - MARKETING MANAGEMENT,Fourth-year status,"Hybrid, Lecture, Online",Undergraduate,Professional Continuing Educ
"This course explores the context, and comprehensive process, of new venture creation. Critical issues of new venture strategy and business planning will be addressed through readings, case analyses, guest speakers, a group project and interactive class discussions. We will review the practical skills necessary for evaluating and creating a new venture, evaluating business opportunities, and building and evaluating new product and business opportunities. Creating New Ventures provides the most practical aspects to complement the theoretical approach of the Introduction to Entrepreneurship course.",MGMT 4165 - CREATING NEW VENTURES,MGMT2065 - Introduction to Entrepreneurship,Lecture,Undergraduate,Management and Facilities
"This course presents and explains concepts and theories useful in understanding the strategic process. It provides students with the opportunity to apply concepts, skills, and techniques to real-world corporate problems.",MGMT 4250 - STRATEGIC MANAGEMENT,"MGMT1000 - Introduction to Management,MGMT3000 - Managing and Leading Organizations, and MGMT2850 - Principles of Marketing. CorequisiteMGMT3500, Financial Management",Lecture,Undergraduate,Management and Facilities
"Integration occurs when one is able to bring unity and coherence to several, distinct elements. The basic goal of the Integrative Seminar is to provide students with an opportunity, singly and in group discussion, to consider how the various functions and skills of management can work together to advance organizations in achieving strategic goals. This seminar will address important linkages among topics and assignments in management courses and show how their combined use makes for a deeper understanding of management success.",MGMT 4300 - INTEGRATIVE SEMINAR,senior status,Lecture,Undergraduate,Management and Facilities
,MGMT 4350 - MANAGEMENT ECP,,Individualized Study,Undergraduate,Management and Facilities
"Executives, managers and employees are in constant states of negotiation - for ideas, for resources, for budget and for the best people. Successful negotiations require positioning, preparation, commitment, needs assessment, packaging words persuasively, use of negotiation tactics, and thinking on your feet. It is one of the most demanding skills in a manager?s tool kit. This course is designed to give students an understanding of the key elements of successful negotiation, and to help develop and enhance negotiation skills through role-play and practice.",MGMT 4400 - BUSINESS NEGOTIATN PRINCIPLES,,Lecture,Undergraduate,Management and Facilities
"This course provides a practical approach for understanding technology transfer through case studies, research, guest speakers and published books. The course is presented from a multi-dimensional perspective acknowledging that a shift takes place within an organization upon the adoption of new technology.",MGMT 4565 - TECHNOLOGY TRANSFER,Junior status; and MGMT4065 - Technology Assessment and Acquisition,Lecture,Undergraduate,Management and Facilities
A capstone course. Students undertake a significant project with faculty guidance. A project presentation is required.,MGMT 5500 - SENIOR PROJECT,MGMT4250 - Strategic Management,"Laboratory, Lecture",Undergraduate,Management and Facilities
"Students will examine current professional practice through the case study method. Case studies and lectures will be selected to reflect the students' discipline area. This courses focuses on project management concepts, techniques, and practices. Relevant literature and research from related disciplines such as management and communications will be included. Since each project is unique, the particular mix of tools and techniques necessary to effectively and efficiently accomplish objectives will change from project to project. The course deliverable is a significant group report in written and presentation format about a major recognizable project. The development of the assignment is itself designed to require the use and application of project management tools to enhance student understanding.",MGMT 5505 - PROJECT MANAGEMENT CAPSTONE,,"Hybrid, Laboratory,",Undergraduate,Professional Continuing Educ
Global Business Relations and HR Management covers understanding human resources from an enterprise or project portfolio level and how to manage a diverse workforce where managers and employees may be in different countries. This course will include a review of negotiating in different cultures.,MGMT 7000 - BUS RELATIONS & HR MGMT,,"Hybrid, Lecture,",Graduate,Management and Facilities
"This course is designed to develop the financial skills and thought processes necessary to understand and implement financial policy decisions in a global economy and addresses the impact of legal, social, technological and ethical considerations related to the practice of corporate finance.  The course stresses effective written and oral communication skills necessary for the design and implementation of financial decisions.",MGMT 7050 - BUSINESS FINANCE & INVESTMENT,,"Hybrid, Online",Graduate,Management and Facilities
"Through individual and group activities, including case studies, students will develop skills in using project management tools and techniques. Focus will be on understanding how to develop requirements, monitor progress, make adjustments and successfully meet the business needs of the project.",MGMT 7100 - PROJECT MANAGEMNT APPLICATIONS,,"Hybrid, Lecture,",Graduate,Management and Facilities
"Business Operations and Process Management focuses on the set of value-added activities that transform inputs into many outputs through effective planning, scheduling, use and control of resources; includes examination of design engineering, industrial engineering management information systems, quality management, production management, inventory management, accounting, and other functions as they affect the organization, including global logistics and sourcing.",MGMT 7150 - BUS OPERATIONS & PROCESS MGMT,,"Lecture, Online",Graduate,Management and Facilities
"This course examines the critical roles and functions of leadership with an emphasis on how leaders influence organizational performance and manage change. Topics will include how to set direction, creating a culture of resilience to change, the use of power and influence, and leading and managing in a dynamic environment where the external environmental factors are rapidly changing.",MGMT 7200 - LEADERSHIP,,"Lecture, Online",Graduate,Management and Facilities
"This course provides the student with a clear understanding of how accounting data is used to communicate financial information to those outside the business unit and the organization and to upper level management. Students learn to evaluate financial issues and become thoroughly familair with the concepts and mechanics of the balance sheet, income statement, and statement of cash flows. Course emphasis is on using financial data as an effective tool for decision making. Students learn how to present project proposals, financial data, capital plans capital requests, and strategic plans to upper level management.",MGMT 7250 - STRATEGIC FN DECISION MAKING,,"Lecture, Online",Graduate,Management and Facilities
"This course provides a principles-based approach to understanding the scope, nature, opportunities and challenges involved in conducting business in the global economy. In addition to studying the international economic institutions, the course will cover the topics of international trade, international finance, and regional issues in the global economy.","MGMT 7300 - ECONOMICS & INT""L BUSINESS",,"Lecture, Online",Graduate,Management and Facilities
"From understanding marketing strategy to the fundamentals of the sales and marketing mix (product, price, place of distribution, and promotion), to the tools required for gathering business intelligence, students will learn the key role of technology to marketing in a technical environment.",MGMT 7350 - MARKETING MANAGEMENT,,"Lecture,",Graduate,Management and Facilities
"This course explores the major elements of organizational dynamics from multiple perspectives, including organizational design, work practices and cultural norms, and the relationship between power and influence. Students will evaluate different approaches to designing and implementing organizational change, as well as the role of leadership in contemporary organizations.",MGMT 7400 - EXECUTIVE LEADERSHIP,,"Hybrid, Lecture, Online",Graduate,Management and Facilities
"Communications Strategies focuses on using oral and written communication skills to advance ideas, agendas, and careers in an organization. Students learn how to ""read"" their audiences and shape their message accordingly. Students will write executive summaries, full reports, and develop presentations to best communicate their ideas. Through case analysis, written assignments, and personal inventories, students learn to identify and adapt to an organization's overt and covert communication protocols, and to observe the ""hidden dimensions"" of communication with a culturally and gender diverse workforce.",MGMT 7450 - COMMUNICATIONS STRATEGIES,,"Lecture,",Graduate,Management and Facilities
"Introduction to the main quantitative and qualitative research methods as applied to facilities management, including tools, proposal writing, and reports. Emphasis is placed upon research planning and design. Topics to be covered include fundamental methodological approaches, the review and evaluation of existing literature and empirical studies through qualitative and quantitative research methodologies, and the design of the student's individual research project. Special attention will be devoted to defining research problems particular to facilities management and the development of the individual research proposal.",MGMT 7500 - QUANT METHODS IN FM RESEARCH,,"Lecture, Online",Graduate,Management and Facilities
This course allows a faculty member and a student to work independently on an area of specific interest in philosophy.,PHIL 2990 - INDEPENDENT STUDY PHILOSOPHY,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"This course presents topics in philosophy that are not covered by existing courses, and are likely to change from semester to semester.",PHIL 3800 - SPECIAL TOPICS PHILOSOPHY,completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"An introductory course in the concepts and processes of philosophical and religious thought and experience. In this course students will be able to examine the classical and contemporary traditions and issues in philosophy and religion, the nature of existential reality, and the process of ethical decision-making.",PHIL 4301 - PHILOSOPHY AND RELIGION,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"The study of the rules and standards of right conduct in regard to the self, industry, and society. Historical perspectives and contemporary case studies are utilized.",PHIL 4501 - ETHICS,Completion of an English sequence,"Lecture, Online",Undergraduate,Humanities Social Sciences
"General introduction to mechanics. Topics include kinematics, vectors, Newton's Laws, equilibrium, work and energy, momentum, and circular motion.",PHYS 1000 - COLLEGE PHYSICS I,MATH1000 -  College Mathematics I,"Laboratory, Lecture",Undergraduate,Sciences
"General introduction to mechanics, including Newton's Laws, equilibrium, work, energy and momentum. The laboratory work will support the concepts studied in class.",PHYS 1005 - PHYSICS A,MATH1005 - College Mathematics A,"Laboratory, Lecture",Undergraduate,Professional Continuing Educ
"A survey of physics and its applications to modern life. Mechanics, sound, heat, electricity, light, and structure of matter are examined. Understanding of concepts, rather than detailed calculations, is emphasized through lecture and laboratory.",PHYS 1010 - CONCEPTUAL PHYSICS,,"Laboratory, Lecture",Undergraduate,Sciences
"General introduction to mechanical and thermal properties of matter, sound, light, and electricity. The laboratory work will support the concepts studied in class.",PHYS 1035 - PHYSICS B,PHYS1005 - Physics A,"Laboratory, Lecture",Undergraduate,Professional Continuing Educ
"A calculus-based course emphasizing the principles and applications of mechanics. Topics include: Newton's Laws, equilibrium; work, energy, power; momentum, circular motion.",PHYS 1250 - ENGINEERING PHYSICS I,MATH1750 - Engineering Calculus I or MATH1775 - Integrated Engineering Calculus I,"Laboratory, Lecture",Undergraduate,Sciences
"Physical properties of solids and fluids, heat, sound, light, electric, and magnetic forces.",PHYS 1500 - COLLEGE PHYSICS II,MATH1500 - Precalculus and PHYS100 - College Physics I,"Laboratory, Lecture",Undergraduate,Sciences
