description,title,Notes,Cross Listed Courses,credits,college,Corequisite,department,Prerequisite
"An independent study offers students an opportunity to explore a topic not available through the current course offerings, or to explore a subject in greater depth than is possible in a regular course. For more information, see Independent Study guidelines.",CPOLS 4999 Independent Study,,,1-9,College of Liberal Arts and Sciences,,CPOLS - Political Science,"30 credit hours, 3.0 cumulative GPA and permission of the instructor and division director. "
"Threshold graduates only. This course addresses a broad range of issues relevant to people with disabilities. Students will learn about intellectual, physical, and emotional diversity and how living with different abilities can affect an individual's experience of school, work, leisure, social life, and other aspects of daily living. The course will cover disability law, skills for self-advocacy, and the societal stigma of perceived difference.","CPSYC 1002 Learning, Working, & Living Well: Social Issues for People with Special Needs",Course restricted to Threshold students.,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,
"This course introduces students to the major concepts and issues in the field of psychology. Topics to be covered include schools of psychology, the experimental method, the physiological basis of behavior, states of consciousness, perception, learning, cognition, intelligence, motivation, emotion, personality, and social behavior.",CPSYC 1101 Introduction to Psychology,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,
"This course considers questions about human development, personality structure, mental health, illness, and interventions from a comparative, cross-cultural perspective. A range of varying notions and descriptions of psychological experience are explored using several targeted cultural groups as examples.",CPSYC 1201 Cross-Cultural Psychology,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,
"This course offers a comprehensive study of the theoretical perspectives and contemporary research on human development, exploring various stages of life and the developmental tasks associated with each. The major theories pertaining to cognitive, emotional, moral, and social development throughout the lifespan are explored, with attention given to the interaction of environmental and familial factors with the usual course of development.",CPSYC 1401 Lifespan Development,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,
"This course provides an introduction to the concepts of health and wellness with an emphasis on the impact and interaction of psychological, physical, and spiritual factors. Health is regarded as more than the absence of disease in the physical body; it is regarded as consciously cultivating beliefs and behaviors that promote wellness. Wellness depends on the ability to become a fully integrated, fully functioning person. This course provides the student with an opportunity to expand their perspective on physical, emotional and spiritual well-being and healing, and to integrate a holistic approach into their personal and professional lives. Students are encouraged to examine their own beliefs about health and wellness. Class sessions include lecture, discussion and experiential exercises.",CPSYC 1451 Holistic Approach to Healing,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,
"This course introduces students to a wide range of human service professions, with particular attention paid to art therapy, counseling, expressive arts therapy, human services, holistic psychology and psychology. Students will get an overview of the history and methods of the human service professions. Career opportunities are explored through guest presentations and assignments in community settings. The values and ethical issues facing professionals are introduced as students plan and prepare for their Sophomore internship.NOTE: Students must achieve a minimum grade of ""C"" to progress into CPSYC 2551 for the following majors: Art Therapy, Counseling, Expressive Arts Therapy, Holistic Psychology, and Psychology. Students who do not meet the minimum grade requirement may only repeat this course once.",CPSYC 1551 Foundations and Systems in the Helping Professions,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,
"This course focuses on human growth and development from conception through early adolescence. Emphasized are the characteristic stages of physical, language, cognitive, and social-emotional development considered from various theoretical perspectives. Also considered are the broad range of children's abilities and needs; the influence of family structures on personality and behavior; and common health problems, including substance abuse, as these impact development. Education students must fulfill the certification-related competencies assigned to the course in order to receive a passing grade.",CPSYC 2401 Child Psychology,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,
"This class will bring a multidisciplinary perspective to understanding of the nature, origins, and psychosocial consequences of child homelessness. Intervention strategies aimed at addressing the psychological and material needs of homeless children and their families will be examined. Although the focus will be primarily on homeless children in the United States, a global perspective will enable students to develop a comparative perspective on the problem of homelessness and its impact on children and families. Students will examine the challenges facing homeless children and families from various perspectives, including: developmental psychology and neuroscience; trauma theory; stress, coping, and resilience; community interventions/social work; and social policy.",CPSYC 2402 Child Homelessness,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,
"This course explores the major paradigms of personality theory through the use of lectures, discussions, and case studies. Current research is examined and models of personality development are discussed as they relate to current clinical practices, including assessment. Perspectives will include biological and trait; psychoanalysis, along with other Neo-Freudian perspectives; feminist; social-behavioral; and humanistic /holistic.",CPSYC 2403 Theories of Personality,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,
"This course introduces some basic issues central to the helping relationship. It offers: 1) an orientation to such topics as developmental perspective, self-image, experienced needs, perception of reality, etc., and how these relate to the counselor in a helping relationship; 2) an overview of current psychotherapies both on a theoretical and practical level; 3) an understanding of the psychological processes which contribute to a style of effective communication; and 4) an examination of the background, status, and future of the counseling field.",CPSYC 2421 Introduction to Counseling,Required for the Counseling major.,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,
"This course introduces theoretical and practical aspects of sport psychology. We will discuss psychological theories which include personality, motivation, behavior with regards to competition and exercise, group dynamics and characteristics of performance in sport but also other domains such as the workplace, arts, and music. Practical applications involve performance enhancement or intervention techniques such as anxiety and arousal control, imagery and visualization, relaxation and breathing and goal-setting. We will also examine individual and team sports where group dynamics and leadership are significant factors.",CPSYC 2429 Sport Psychology,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,
"The influence of social factors on human behavior are explored through theory and research. The course focuses on behavior in the context of interpersonal relations, and small and large groups. Topics include the basis of interpersonal attraction, social influence, attitudes, attribution theory, race relations, intergroup conflict and its resolution, and the family as a system. Meets lab requirement in Psychology major.",CPSYC 2431 Social Psychology,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,
"This course provides a critical review of theories, methods, and findings in human information processing, learning, and thinking. Topics include verbal learning, memory, attention, perception, problem solving, and creativity. Consideration is also given to the functioning of these cognitive processes during altered states of awareness (e.g., sleep, dreams, and hypnosis). Meets lab requirement in Psychology major.",CPSYC 2433 Cognitive Psychology,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,
"This course offers a beginning theoretical and practical foundation in cognitive and behavioral interventions as they might be applied in both educational and clinical settings. The procedures covered include behavioral analysis, contingency programs, modeling and social learning theory, cognitive restructuring, and biofeedback, as applied in a range of settings. Particular attention is given to the social and ethical implications of employing behavioral procedures in a culturally and clinically sensitive manner. Meets lab requirement in Psychology major.",CPSYC 2435 Psychology of Learning and Behavior Change,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,
"This course offers students a legal, social, and educational understanding of inclusionary practices as they pertain to students with disabilities. The course examines the physical, cognitive, affective, and social experiences of children and youth with a variety of disabilities and discusses the implications of these characteristics for participation in school and community.",CPSYC 2437 Characteristics of Children and Youth with Special Needs,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,
"This course explores how yoga can be used as a tool for mental and emotional health. Drawing on philosophical and theoretical principles of yoga, students will learn how yoga postures, breathing, and mindfulness meditation techniques can be used to promote emotional balance, healing, and growth. Specific emphasis will be given to mental health topics of primary concern to college students: depression, anxiety, body image, trauma, and addiction. Students will engage in a variety of yoga practices focused on developing practical skills to strengthen their capacity for inner witness consciousness, self-soothing, grounding, and self-regulation. Students will be guided to develop and maintain a personal yoga practice customized to their health needs and will complete a research project related to a topic of personal health interest.",CPSYC 2451 Yoga for Mental and Emotional Health,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,
"This class will integrate theory, research, and practice as students explore the concept of mindfulness and its relationship to mental health. The course will draw on research from several areas, including clinical, health, and holistic psychology, affective neuroscience, and the field of stress and coping. Topics will include the history, diversity, and empirical basis of mindfulness practice; the use of mindfulness to treat psychological disorders such as depression and anxiety; mindfulness as an approach to stress management and wellness promotion; mindfulness with marginalized, high-stress populations; and the integration of mindfulness into psychotherapies such as Acceptance and Commitment Therapy and Internal Family Systems Therapy.",CPSYC 2453 Mindfulness and Mental Health,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,One previous CPSYC course
"This course combines theory with practice as students engage in the first of their required internships. The course focuses on the development of communication skills, clinical skills of interviewing, case study, and professional conduct. Students are exposed to the ethics governing the delivery of professional services, with special attention paid to social services in diverse communities. The internship component of the course is designed to help students integrate theory with clinical skills in practice. Students spend a minimum of 90 hours in the field throughout the semester. Students must secure an approved internship site before the first class by working with the Internship Office. NOTE: Students must achieve a minimum grade of C to proceed in the following majors: Art Therapy, Counseling, Expressive Arts Therapy, Holistic Psychology, and Psychology.",CPSYC 2551 Concepts & Skills in Professional Practice,Students must secure an internship site before the first class.,,4,College of Liberal Arts and Sciences,,CPSYC - Psychology,"A minimum grade of ""C"" in CPSYC 1551 , or permission of Division Chair. The field component must be completed successfully in order to pass this course."
"This course examines the social, cultural, and psychological processes that shape political beliefs, attitudes and behaviors. It progresses through three sections: Part I-Power and Psychodynamics; Part II-Socialization and Compliance; Part III-Culture and conditioning. Topics will include agents of political socialization, techniques of propaganda, political myths and rituals, political rhetoric and symbolic framing, news bias and media effects, conformity and authoritarianism, rebellion and human needs, civics education, gender role indoctrination, the complex relationships between freedom and power, and the effects of personality dynamics on political behavior. This is an interdisciplinary course, and students will read and discuss works from the fields of psychology, political science, sociology, anthropology and communications. Emphasis will be placed on understanding analytical theories and concepts for use in social and political inquiry and research.","CPSYC 3240 Psychology, Power, and Politics",,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,"3 credits in either CPSYC, CPOLS, or CSOCL and one additional 2000 level class in psychology "
"Students are introduced to the dynamics of normal and abnormal behavior and adjustment. The course emphasizes the study of basic needs, anxiety, defense mechanisms, neurosis, psychosis, psychotherapy, and prevention of disorder. In-depth consideration of psychoanalytic theory is contrasted with existential and other theories. Case studies are used.",CPSYC 3405 Abnormal Psychology,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,One 1000-level CPSYC course AND one 2000-level CPSYC course 
"This course offers interested students the opportunity to pursue, in depth, selected critical issues concerning infancy. The last 15 years have seen a dramatic surge of interest in infant development. Theories of infant behavior and empirical research studies have proliferated. Students become familiar with the contemporary conception of the competent infant; the major theoretical issues of infancy; the new methodology which has made the infant more available for study; and the implications of the theory and research for child-rearing, early education, and social practice.",CPSYC 3407 Critical Issues in Infancy,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,CPSYC 1401 and one additional 2000 CPSYC course OR CPSYC 2401 and one additional 2000 level CPSYC course 
"This course begins with the stage immediately preceding the onset of puberty and concentrates upon the adolescent years. The subject matter includes various theoretical views of preadolescence and adolescence; factors influencing normal development and developmental differences; and problems unique to these ages, both in the United States and in other countries. Male and female differences in these age groups are explored.",CPSYC 3409 Psychology of Preadolescence and Adolescence,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,One 1000-level CPSYC course AND one 2000-level CPSYC course 
"Ecopsychology increases the focus of psychology to include the human relationship with the natural world. This course introduces students to the full spectrum of what is meant by ecopsychology, covering the field's philosophical, ecological, and psychological roots. Building upon the theoretical foundations of the field students will investigate their own ecological identity. This is a discussion-based course that requires students to be active participants in their own learning process. This course will include a service-learning component.",CPSYC 3410 Ecopsychology,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,One 1000-level CPSYC course AND one 2000-level CPSYC course 
"This course is designed to be an investigation of selected themes and topics confronting the growing adult from post-adolescence to death. These topics include identity, intimacy, autonomy, sexuality, work, gender roles, parenting and family relations, stress, leisure, lifelong learning, spirituality, creativity, aging, and death and dying. The experience of adult development is explored within the context of gender, culture, and significant historical forces.",CPSYC 3411 Adult Development,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,One 1000-level CPSYC course AND one 2000-level CPSYC course 
"This course introduces the theoretical foundations in which the study of the psychology of women is grounded. Sexism in the development of psychological and psychoanalytic theory; the diagnosis and treatment of women's psychopathology; and women's mental health are examined in depth. Psychosocial issues including gender differences, patterns of love and work, and lifespan development are also explored as they affect the psychological lives of women.",CPSYC 3413 Psychology of Women,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,One 1000-level CPSYC course AND one 2000-level CPSYC course
"Movies have the power to entertain us, inspire us, challenge us and transport us. In this class, we will harness movies power to teach us. Using classic, popular and foreign films, we will explore multiple facets of various aspects of psychological life with a different key theme each semester that the course is offered.",CPSYC 3415 Reel Psychology,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,One 1000-level CPSYC course AND one 2000-level CPSYC course
"In this course, students gain insights and skills at the paraprofessional level for dealing with severe interpersonal and intrapersonal difficulties which are sometimes perceived as crisis situations. Such difficulties include child abuse, severe drunkenness, drug abuse, rage, and traumatizing fear or grief. Analysis of case studies and role-playing is included in the course, and community speakers at class sessions supplement the course instruction.",CPSYC 3422 Trauma and Crisis,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,One 1000-level CPSYC course AND CPSYC 2421 
"Students examine current theories underlying the counseling of children and adolescents. The play approaches of Axline and Moustakas; the person-centered interviewing techniques of Rogers; Glasser's Reality Therapy; Skinner's behavior modification theory; Satir's family counseling; Freud's frameworks, and others are examined in some depth. Students use case studies and role-playing in order to experience personally the issues implicit in counseling with children and youth. In addition, the course facilitates self-exploration and self-understanding in order to prepare students for work as child or youth services professionals.","CPSYC 3424 Counseling Children, Adolescents and Young Adults",,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,One 1000-level CPSYC course AND CPSYC 2421 
"This course is designed for students who wish to increase their ability to function effectively in groups. Attention is given to understanding the processes and development of small groups, and to participation, influence, authority, leadership, and other aspects of working in groups. Students are expected to choose and pursue behavior goals for themselves.",CPSYC 3425 Applied Group Dynamics,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,One 1000-level CPSYC course AND CPSYC 2421. 
"This course examines how different theories of family functioning help in understanding and diagnosing family problems. Students learn specific strategies for enhancing positive family functioning at three levels: [1] individual's experience of the family, [2] family structure and patterns of interaction, and [3] the community context of the family. Significant analysis of self and family of origin as well as understanding of socio-cultural context is required.",CPSYC 3427 Family Interventions,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,One 1000-level CPSYC course AND CPSYC 2421 
"This course examines the broad area of human behavior in organizations. It focuses on individual motivation, leadership, group dynamics, intergroup conflict, and organizational change. It emphasizes ""hands-on"" applications and uses behavioral science theory and research to help students develop their own individual awareness and interactional skills. Students are required to participate in individual and group activities which replicate behavioral problems and challenges they will likely face in management settings in organizations.",CPSYC 3439 Organizational Psychology,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,One 1000-level CPSYC course AND one 2000-level CPSYC course 
"This course introduces students to the basic concepts, techniques, and application of descriptive and inferential statistics. Topics include organization of data, measures of central tendency and variability, probability, sampling distribution, hypothesis testing, linear correlation, and prediction. The course emphasizes the analysis and interpretation of research in psychology and education. Practice exercises are utilized.Recommend that CMATH 1552 be taken prior to this course.",CPSYC 3441 Elements of Statistics in Psychology,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,One 1000-level CPSYC course AND one 2000-level CPSYC course 
"This course will examine the methodologies, theories, and research that emphasize the holistic approach in psychology. Topics include identity and self-expression, self-actualization, peak experience, free will, natural/organismic values, syntropy, altered states of consciousness, and suprasensory phenomena.",CPSYC 3451 Holistic Psychology,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,One 1000-level CPSYC course AND one 2000-level CPSYC course 
This course focuses on a specific topic in psychology.,CPSYC 3888 Selected Topics in Psychology,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,One 1000-level CPSYC course AND one 2000-level CPSYC course. 
The student works under the supervision of an experienced professional in an approved psychology site for 180 hours throughout the semester or summer term. This experience is supported by a faculty led professional development seminar to examine the issues growing out of the student's field experience. Summer internship seminars are conducted on-line. Students must secure an approved internship by working with the Internship Office before the first class. Students must achieve a minimum grade of C to fulfill the requirements of the major.,CPSYC 3901 Psychology Internship and Seminar I,,,6,College of Liberal Arts and Sciences,,CPSYC - Psychology,"Minimum grade of ""C"" in CPSYC 2551 , CSOCS 3444 , a 2.3 cumulative grade point average in major, an overall cumulative grade point average of 2.0 or permission of the Internship Coordinator "
"This course is the first of a two course internship sequence offered for Psychology majors in the Onlineor accelerated LCAL Programs.The purpose of the internship is to offer the student a unique opportunity for intellectual and ethical growth in the applied areas of psychology. The student works under the supervision of an experienced professional in an approved psychology site for 180 hours over the two course sequence. This experience is supported by a faculty led, professional development seminar designed to examine issues arising out of the student's field experience. NOTE: A minimum advisory grade of ""C"" is required to proceed to the second half of this internship sequence, CPSYC 3903. The courses are linked and must be taken in sequence. Students will receive an SIP (still-in-progress) grade at the end of this course and will receive a final grade for both courses at the end of the two course sequence.","CPSYC 3902 Psychology Internship and Seminar, Part 1: Online Program",,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,"One 1000-level CPSYC course and one 2000-level course, and CSOCS 3444 . "
"This course is the second of a required two-course internship sequence for Psychology majors in the Online or accelerated LCAL Programs. The purpose of the internship is to offer the student a unique opportunity for intellectual and ethical growth in the applied areas of Psychology. The student works under the supervision of an experienced professional in an approved psychology site for 180 hours over the two course sequence. This experience is supported by a faculty led, professional development seminar to examine the issues arising out of the student's field experience.Students must achieve a minimum grade of ""C"" in both CPSYC 3902 and CPSYC 3903 to successfully meet the requirements of the program. The courses are linked and must be taken in sequence. The student will receive a final grade for both courses at completion of this course.","CPSYC 3903 Psychology Internship and Seminar, Part 2: Online Program",,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,Permission of advisor 
"The student serves as a course assistant to the faculty member who has accepted them. The course includes both studying the process of planning, implementing, and evaluating the course curriculum, and assisting with the preparation and teaching aspects of the course. The course is recommended for students interested in studying a particular subject in more depth, and for those wishing to participate in the planning and teaching process.",CPSYC 4089 Practicum in Curriculum and Procedures,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,
"This class introduces students to the field of Psychobiography, combining the disciplines of psychology and biography to analyze the lives of historically significant individuals through the use of psychological theory and research. We will explore how psychobiography contributes to the field of psychology as a whole. Employing the qualitative and quantitative approaches of psychobiographical methodology, students acquire a deep understanding of psychobiography's value as a research endeavor and how to craft convincing psychobiographical interpretations of their own.",CPSYC 4224 Psychobiography,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,CPSYC 2403 & CSOCS 3444 
"This course will explore the basic concepts, approaches and perspectives of transpersonal psychology. Transpersonal experiences may be defined as experiences in which the sense of identity or self extends beyond (trans) the individual or personal to encompass wider aspects of humankind, life, psyche, and cosmos. Transpersonal psychology appreciates the necessity of ordinary states of consciousness for mapping the terrain of the physical universe, but nonordinary states are seen as powerful means of extending our knowledge beyond the four dimensions of the Newtonian/Einsteinian universe. Some of these nonordinary states of consciousness to be explored include dreaming, meditative states, clear listening, intuitive wisdom and mindfulness.",CPSYC 4405 Transpersonal Psychology,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,At least one previous 2000 or 3000 level CPSYC course. 
This course focuses on the refinement of individual counseling procedures and an in-depth examination of various theoretical approaches to therapy. The seminar makes extensive use of audio and visual recordings as well as video demonstrations and classroom exercises focusing on how the therapist and client interact. Strategies stress peer and faculty feedback in classroom exercises and role-playing.,CPSYC 4426 Counseling Strategies and Techniques,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,CPSYC 3422 or CPSYC 3424 or CPSYC 3427 
"This capstone course provides a comprehensive and critical examination and integration of the major theories and practices of holistic psychology.Utilizing the perspectives of mind, body and spirit, the historical antecedents of holism, and contemporary research in psychology, students will examine the inter connections among contemporary theories and practices within holistic psychology.Each student will design and lead a seminar session, complete an integrative paper on a selected topic and participate in the design, implementation and evaluation of a group project. NOTE: Students must achieve a minimum grade of ""C"" to fulfill the requirements of the major.",CPSYC 4451 Seminar in Holistic Psychology,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,CPSYC 3451 and one additional 3000-level CPSYC course. Restrictions: Limited to seniors in the Holistic Psychology major. 
"In this course students will examine three historical East Indian texts on the nature of consciousness, mind and psychology: Samkhya's philosophy, The Taittreya Upanishads and Patanjali's Yoga Sutras. We will critically explore how the interpretation of these historical texts is shaped by academics, those with political agendas, gurus, and the writers of popular New Age texts. We will also explore the ideas presented within these texts within our own lives, reflecting on the process by which we make meaning. This course is primarily lecture and discussion based. Fulfills Global Perspectives requirement.","CPSYC 4452 Psychology of Yoga: East Indian Understanding of Mind, Self and Society",,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,CSOCS 3452 and one additional 3000-level CPSYC course
"This course builds upon the information learned from cognitive psychology in providing an examination of the brain-behavior relationships of major neuropsychological deficits and disorders. Emphasis will be on clinical presentations, differential diagnosis, and neuroanatomical correlates. Topics include the cognitive, emotional, and behavioral symptoms associated with various dementias, infectious diseases, vascular disease, alcohol and substance abuse, head trauma, and seizure disorders. We will also consider attention deficit/hyperactivity, learning disorders, emotion disorders, and the application of neuropsychology to forensic settings (i.e. criminal and litigation cases).",CPSYC 4702 Clinical Neuropsychology,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,CPSYC-2433 and one additional 3000-level CPSYC course
"This course is designed as a senior capstone course for counseling majors. Students critically examine selected contemporary issues related to the development of public policy and legislation. Topic explorations include study of the ethical issues related to professional practice and how political, economic, and social pressure impact policy development. Through analysis of targeted contemporary issues students will examine the connections between social policy, the human service professional, and the delivery of services. NOTE: Students must achieve a minimum grade of ""C"" to fulfill the requirements of the Counseling major.",CPSYC 4881 Contemporary Issues in Counseling,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,"CCOUN 3601 , CPLCY 3552 , CSOCS 3444 "
"This seminar builds upon theoretical foundations from required courses in the psychology major by providing students with an opportunity to critically examine and evaluate a new burgeoning field of psychological research. By examining and interpreting the latest psychological research from several sub-disciplines of psychology (cognitive, social, developmental, clinical, neuroscience, personality) we will gain a thorough understanding of the interconnections among several contemporary theories of psychological research and evaluate how they contribute to our understanding of psychological theory. Emphasis will be placed on the ways that scientists generate hypotheses regarding the nature of psychological processes and the methods by which these ideas are tested. Through the analysis of this specific area of psychological research, students will demonstrate comprehension, evaluation, and application of the science of behavior and mental processes. NOTE: Students must achieve a minimum grade of C to complete the requirements of the psychology major.",CPSYC 4907 Psychology Capstone,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,"CPSYC 3901 , CPSYC 3441 and CSOCS 3444 "
"This course will build upon knowledge from CSOCS 3444 to provide further training in conducting literature reviews, critically reviewing articles from scientific journals, learning how to obtain permission to conduct research from IRBs, learn how to present research in public forums, and greater in-depth knowledge in how to conduct quantitative and qualitative research. In this course, students will develop a highly focused area of research and will spend a great part of their course reviewing relevant literature, obtaining permission from IRB to collect data, if necessary, and developing a proposal for a senior thesis that will be completed in the spring semester of senior year. Students will seek approval for their proposal by a committee of faculty members with appropriate expertise related to the students proposal topic.",CPSYC 4908 Honors Advanced Research Seminar,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,Admission to PsyAT Research Honors program; minimum grade of B+ in CSOCS 3444 Research Methods in the Social Sciences 
"This course will continue the research initiated in the Honors Advanced Research Seminar in which they will complete their data collection and/or literature review and write up a full manuscript in APA format. Students will then participate in a public presentation of their research to the wider Lesley community.Students will meet, at minimum, on a biweekly basis with mentor to report progress.",CPSYC4909 Honors Advanced Research Thesis,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,Admissions to Psychology Honors Program; Successful completion of Honors Advanced Research Seminar 
"Building on theoretical foundations from required courses in the online psychology major, this course provides students with an opportunity to critically examine and evaluate a burgeoning field of psychological research: happiness and well-being. By examining and interpreting the latest psychological research from several sub-disciplines of psychology, we will gain a thorough understanding of the interconnections among several contemporary theories of psychological research and evaluate how they contribute to our understanding of well- being. Emphasis will be placed on the ways that scientists generate hypotheses regarding the nature of psychological processes and the methods by which these ideas are tested. Through the analysis of this specific area of psychological research, students will demonstrate comprehension, evaluation, and application of the science of behavior and mental processes. NOTE: Students must achieve a minimum grade of C to complete the requirements of the psychology major.",CPSYC 4910 Online Psychology Capstone,,,3,College of Liberal Arts and Sciences,,CPSYC - Psychology,"CSOCS 3444 ; CPSYC 3902 , CPSYC 3903 , 60+ completed credits "
"An independent study offers students an opportunity to explore a topic not available through the current course offerings, or to explore a subject in greater depth than is possible in a regular course. For more information, see Independent Study guidelines.",CPSYC 4999 Independent Study,,,1-9,College of Liberal Arts and Sciences,,CPSYC - Psychology,"30 credit hours, 3.0 cumulative GPA and permission of the instructor and division director. "
This course focuses on a specific topic in religious studies.,CRELS 1888 Selected Topics: Religious Studies,,,3,College of Liberal Arts and Sciences,,CRELS - Religious Studies,
"An exploration into the important texts, histories, historical contexts, and worldview assumptions that inform several major religions in the modern world. Islam, Buddhism, Judaism, and Christianity are among the religions explored. While each tradition is approached as a separate entity, the course neither assumes nor advocates their mutual exclusivity.",CRELS 2330 World Religions,,,3,College of Liberal Arts and Sciences,,CRELS - Religious Studies,
"What images of children exist in the minds of adults, who make decisions that affect our youngest citizens? How are children portrayed in the media? This seminar will explore art, music, literature, and film to inspire ideas about children's rights  to play, to joy, to childhood  and the ways that we can advocate for children in public arenas. We will consider provocations from different academic disciplines to generate new ways of thinking about children's participation and actualization in the U.S. and in the global domain.",CSOCS1150 FYS - The Image of the Child:From Perception to Actualization,,,3,College of Liberal Arts and Sciences,,CSOCS - Social Sciences,
"This interdisciplinary analysis of the life of children and the social construction of childhood draws on the social science disciplines of anthropology, history, sociology, psychology, and political science. Through readings, discussion, and mixed-media analysis, students will gain insight into children's lives and the forces that shape them. Career opportunities and internship sites are explored.",CSOCS 1441 Children and Society,,,3,College of Liberal Arts and Sciences,,CSOCS - Social Sciences,
"This Pre-Internship Seminar leverages Lesleys assets to best support you in preparation for your internship search in your major. Through discussion, you will learn more about your internship requirements and receive feedback from your peers on relevant internship issues. Youll receive resources from Lesleys Career Resource Center on how best to develop a cover letter and rsum for your internship search. You will get practice in interviewing and learn about networking. You will develop these supporting materials through the guidance and support of Lesley faculty as well as your peers. The course will culminate with a meeting with the Internship Office to discuss Lesleys affiliated internship sites and to provide you with personalized advice and information regarding your internship search.",CSOCS 2401 Social Sciences Pre-Internship Seminar,,,1,College of Liberal Arts and Sciences,,CSOCS - Social Sciences,
,CSOCS 2xxx Emerging Adulthood,,,3,College of Liberal Arts and Sciences,,CSOCS - Social Sciences,
"The study of baseball as a national pastime in the United States can illustrate major themes in American social history. Through an examination and exploration of the game itself, media coverage, government interaction, teams, fans, major figures and movements within the game, students will achieve better understanding of themes and forces that have shaped modern America. Topics include labor history, demographics, immigration patterns, fan psychology, group dynamics, racial integration, philosophy of sport, economics, social change, and media.",CSOCS 3110 Baseball and the American Experience,,,3,College of Liberal Arts and Sciences,,CSOCS - Social Sciences,
"The student works in an appropriate setting for a minimum of 90 hours for the full semester under the supervision of an experienced professional. Field placement settings include community service organizations, residential group homes, recreation agencies, government agencies, advocacy organizations, schools, family & community support agencies, courts, and after-school programs. The student meets with a College of Liberal Arts and Sciences supervisor for a weekly seminar to examine issues arising from the student's field experience and to relate these issues to theory and social policy.",CSOCS 3401 Social Science Internship and Seminar I,"a minimum grade of ""C"" is required to progress in the major.",,3,College of Liberal Arts and Sciences,,CSOCS - Social Sciences,"A 2.3 cumulative grade point average in required courses; an overall grade point average of 2.0, or permission of the Internship Coordinator."
"This course introduces students to the basic concepts, techniques, and application of descriptive and inferential statistics. Topics include organization of data, measures of central tendency and variability, probability, sampling distribution, hypothesis testing, linear correlation and prediction. The course emphasis the analysis and interpretation of research in the social sciences. Practice exercises are utilized.",CSOCS 3441 Elements of Statistics in the Social Sciences,,,3,College of Liberal Arts and Sciences,,CSOCS - Social Sciences,
"Study of the logic, rules, and techniques of social science research. Topics include relationship of theory and research; research design; measurement; and analysis of data, including elementary statistical analysis. Data collection methods such as experimentation, observation, interviews and questionnaires, and secondary analysis of available data are studied and utilized in research projects.",CSOCS 3444 Research Methods in the Social Sciences,,,3,College of Liberal Arts and Sciences,,CSOCS - Social Sciences,Fulfillment of Social Science general education requirement. 
